AuthorID,Author,Date,Content,Attachments,Reactions
977582077400735784,draiydsnl,2024-04-17T20:55:55.7610000+01:00,"its not really an old school camera, it is more like a shoulder cam",,
977582077400735784,draiydsnl,2024-04-17T20:56:13.2620000+01:00,the camera has a good quality too,,
413494385351852033,sethcopela,2024-04-17T20:56:58.6350000+01:00,it's still an old school camera,,☝🏼 (1)
413494385351852033,sethcopela,2024-04-17T20:57:05.0510000+01:00,ik it's a shoulder cam,,
413494385351852033,sethcopela,2024-04-17T20:57:17.7050000+01:00,but I've never once seen these used on a shoulder lol,,
413494385351852033,sethcopela,2024-04-17T20:57:36.8120000+01:00,they're just not ergonomic enough,,
977582077400735784,draiydsnl,2024-04-17T21:22:14.4910000+01:00,"yh, i have to start somewhere",,
977582077400735784,draiydsnl,2024-04-17T21:22:32.2060000+01:00,"im just 15, i cant buy a expensive camera",,
721686599317979136,marlow925,2024-04-17T21:48:52.2650000+01:00,"you can .. but maybe you can not afford to ...
 doesn't matter either.
 You have the camera, you have. And there's nothing wrong starting on anything. It's what you do with it, that matters in the end.",,👍🏼 (2)
641009845696200746,vwmk7.5,2024-04-18T00:21:10.8670000+01:00,,https://cdn.discordapp.com/attachments/1224713323409313872/1230297034842443887/IMG_8279.jpg?ex=6853f2a6&is=6852a126&hm=3d290adcacce40bf64be194c18464245e68a69ef5a2ca8389d6c5239f7fd19d0&,
641009845696200746,vwmk7.5,2024-04-18T00:21:15.7070000+01:00,Minimal setup,,👍 (1)
721686599317979136,marlow925,2024-04-18T00:37:09.8320000+01:00,i'd say usable setup,,
721686599317979136,marlow925,2024-04-18T00:37:25.4810000+01:00,"be better with a lens with internal zoom, but it's a good start",,
641009845696200746,vwmk7.5,2024-04-18T00:46:56.3140000+01:00,"I mainly do photo (hence the a7""r""iii) but I also do video but its not my main thing.",,
